title,keywords,publisher,users,price,author,ing,genre,viewCount,score,uploaded,reviewCount,date,free_info
새삼 NBA G.O.A.T가 되었다,#스포츠#천재#기타 스포츠#성장,문피아,전체이용가,100원/회차 당,자유수달,월~금 연재,현판,1.7만,10.0,전체 162,전체 14,24.06.12,25장
[BL] 별일 없는 동네 [19세 완전판],#미스터리#동거물#첫사랑#능글공#다정공#순정공#존댓말공#대형견공#순진공#미인공#능력수#다정수#무심수#나이차커플#달달물,BLYNUE블리뉴,19세이용가,100원/회차 당,이미누,완결,BL,220,완결,전체 81,전체 0,24.06.12,3장
은퇴한 소드마스터는 귀농을 꿈꾼다,#귀환#먼치킨#검사#영지,문피아,전체이용가,100원/회차 당,폭파중,월~금 연재,판타지,2.1만,10.0,전체 175,전체 1,24.06.12,25장
밤을 너로 채워봐도,#외유내강#순정남#능력남#카리스마남#동정남#절륜남#재회물#소꿉친구#친구>연인#오피스물#사내연애#소유욕/독점욕#상처남,에이템포미디어,15세이용가,100원/회차 당,금반지,완결,로맨스,81.8만,10.0,전체 76,전체 497,24.06.12,0장
연성하는 영주님,#차원이동#레이드#전쟁#기갑#먼치킨#영지#깽판,문피아,전체이용가,100원/회차 당,시인단테,완결,판타지,2.9만,10.0,전체 222,전체 1,24.06.12,25장
사일런스(Silence) [BL],#현대물#서양풍#미남공#다정공#강공#계략공#절륜공#복수물#조직/암흑가#기억상실#시리어스물,위브랩,15세이용가,100원/회차 당,여름볕,완결,BL,95,완결,전체 28,전체 0,24.06.12,2장
필드 위 괴물 스트라이커,#스포츠#천재#고인물#회귀#축구,스튜디오389,전체이용가,100원/회차 당,선우(仙宇),완결,현판,2.5만,10.0,전체 176,전체 4,24.06.12,25장
비정,#현대로맨스#시월드#후회남#외유내강#재벌남#철벽녀,로크미디어,15세이용가,100원/회차 당,허도윤,완결,로맨스,"5,589",10.0,전체 35,전체 1,24.06.12,3장
언페어,#현대로맨스#계략남#후회남#소유욕/독점욕#상처녀#까칠남#다정남,작가컴퍼니,15세이용가,100원/회차 당,GINA,완결,로맨스,"5,016",10.0,전체 109,전체 0,24.06.12,5장
천마님 방송하신다,#귀환#방송#TS#천마#BJ#천재#시스템#먼치킨,노벨피아,전체이용가,100원/회차 당,격겜허접,완결,현판,3만,10.0,전체 487,전체 155,24.06.12,15장
조선을 다시 위대하게,#대체역사#전쟁#생존#영지#천재#노력#성장#왕족/귀족#정치가#실존인물,호랑공방,전체이용가,100원/회차 당,기병사단,월~금 연재,판타지,"2,549",10.0,전체 106,전체 0,24.06.11,25장
[BL] 체리돌 스캔들 [19세 완전판],#까칠공#능글공#다정공#후회공#츤데레공#집착공#절륜공#순정공#연하공#존댓말공#다정수#상처수#짝사랑수#순진수#순정수,BLYNUE블리뉴,19세이용가,100원/회차 당,단그늘,완결,BL,"2,583",10.0,전체 161,전체 4,24.06.11,4장
해로운 첫사랑,#현대로맨스#사내연애#원나잇#짝사랑#첫사랑#능글남#다정남#츤데레남#오빠#엉뚱발랄녀#친구>연인#달달물#로맨틱코미디,글빚는이야기꾼,15세이용가,100원/회차 당,글마미,완결,로맨스,"7,171",10.0,전체 105,전체 0,24.06.11,3장
진짜 성녀님을 찾습니다,#로맨스판타지#성장물#가상시대물#우연한만남#운명#다정남#능력남#존댓말남#능력녀#걸크러쉬#사이다녀#계약관계#기억상실#권선징악,필연매니지먼트,전체이용가,100원/회차 당,리르엔,"월, 화, 목, 금, 토, 일 연재",로판,45.1만,9.4,전체 111,전체 445,24.06.11,0장
여름이라 부를게,#현대로맨스#학원물#재회물#첫사랑#능글남#순정남#능글녀#상처녀#털털녀#운동선수,윤송스피넬,15세이용가,100원/회차 당,든바다,매일 연재,로맨스,16.9만,9.9,전체 110,전체 257,24.06.11,5장
필요에 의한 관계,#현대로맨스#재회물#복수물#첫사랑#소유욕/독점욕#다정남#연하남#능력남#직진남#능력녀#철벽녀#상처녀#삼각관계#금단의관계#권선징악,와이엠북스,15세이용가,100원/회차 당,빵곰탕,완결,로맨스,9.4만,10.0,전체 64,전체 98,24.06.11,5장
당씨고아,#복수#생존#성장#천마#정파#사파#마교#독#정통#도사#전쟁,스튜디오예스원,전체이용가,100원/회차 당,TD,매일 연재,무협,1.6만,9.9,전체 72,전체 36,24.06.11,25장
당신들이 왔을 땐 이미 늦었다,#로맨스판타지#가족후회물#여주판타지#능력녀#역하렘#무심녀#다정남#능력남,제우미디어,전체이용가,100원/회차 당,라엘리아,완결,로판,"8,193",10.0,전체 144,전체 8,24.06.11,7장
다정한 전남편에게서 도망쳤다,#로맨스판타지#회귀물#운명#까칠남#다정남#상처남#소유욕/독점욕#순정남#왕족/귀족#카리스마남#후회남#능력남#상처녀#후회녀#권선징악,스튜디오12,15세이용가,100원/회차 당,교시,완결,로판,564,10.0,전체 156,전체 0,24.06.11,5장
보통의 연애 [개정판],#현대로맨스#정략결혼#운명#재벌남#직진남#다정남#상처남#순정남#평범녀#다정녀#상처녀#순정녀#외유내강#시월드#달달물,위브랩,전체이용가,100원/회차 당,사란,완결,로맨스,764,완결,전체 55,전체 0,24.06.11,2장
[BL] 화비설화 [19세 완전판],#궁정물#동양풍#첫사랑#까칠공#츤데레공#상처공#미인공#헌신공#절륜공#계략공#존댓말공#다정수#순진수#순정수#짝사랑수,BLYNUE블리뉴,19세이용가,100원/회차 당,유아르,완결,BL,"1,433",완결,전체 157,전체 0,24.06.10,4장
[BL] 빙의해서 제일 먼저 하는 건 이혼 [19세 완전판],#오메가버스#차원이동물#재회물#첫사랑#다정공#후회공#집착공#재벌공#무심공#헌신공#다정수#상처수#재벌수#순진수#계약관계,BLYNUE블리뉴,19세이용가,100원/회차 당,달빛머문별,완결,BL,"2,225",완결,전체 70,전체 0,24.06.10,3장
[BL] 38광땡 [19세 완전판],#현대물#판타지물#계약관계#신분차이#개그물#미인공#다정공#능글공#집착공#계략공#까칠수#평범수#무심수#첫사랑#할리킹,BLYNUE블리뉴,19세이용가,100원/회차 당,홈키퍼B,완결,BL,"2,592",완결,전체 117,전체 0,24.06.10,3장
제갈세가의 환생 정령사,#명문세가#환생#정령#천재#노력#성장#객잔무협,고렘팩토리,전체이용가,100원/회차 당,연재형,월~금 연재,무협,2.5만,9.4,전체 47,전체 14,24.06.10,15장
설정 변경으로 SSS급 헌터,#빙의#먼치킨#시스템#레이드#고인물#이능력,문피아,전체이용가,100원/회차 당,장홍,완결,판타지,"8,078",9.9,전체 178,전체 8,24.06.10,25장
삼국지-태평비술전,#삼국지#환생#전쟁#천재#무공,문피아,전체이용가,100원/회차 당,푸달,완결,판타지,3.1만,9.4,전체 203,전체 1,24.06.10,51장
랜덤박스로 유튜브 스타!,#방송#BJ,스튜디오389,전체이용가,100원/회차 당,사는게죄,완결,현판,"4,789",9.5,전체 200,전체 2,24.06.10,25장
몰락무당,#정통#무당,스튜디오389,전체이용가,100원/회차 당,성불예정,완결,무협,"2,770",8.2,전체 143,전체 0,24.06.10,25장
